Q45909	B	A
Q15031	B	A
Q51861	C	A
Q822	B	A
Q3577919	C	A
Q664	B	A
Q946	B	A
Q1904	B	A
Q517	B	A
Q458	B	A
Q14560	B	A
Q16	B	A
Q115	B	A
Q423	B	A
Q419	B	A
Q233	B	A
Q434	B	A
Q5812	B	A
Q77	B	A
Q819	B	A
Q574	B	A
Q9588	B	A
Q769	B	A
Q9130	B	A
Q1899	B	A
Q43	B	A
Q1011	B	A
Q843	B	A
Q189	B	A
Q7186	B	A
Q869	B	A
Q733	B	A
Q833	B	A
Q2513	B	A
Q2001	B	A
Q7416	B	A
Q1028	B	A
Q2028	B	A
Q5686	B	A
Q34	B	A
Q1000	B	A
Q917	B	A
Q1067	B	A
Q9327	B	A
Q668	B	A
Q12418	B	A
Q656	B	A
Q692	B	A
Q963	B	A
Q232	B	A
Q31	B	A
Q238	B	A
Q9682	B	A
Q23559	B	A
Q298	B	A
Q153	B	A
Q302	B	A
Q45	B	A
Q79	B	A
Q155	B	A
Q399	B	A
Q228	B	A
Q84	B	A
Q352	B	A
Q40	B	A
Q889	B	A
Q851	B	A
Q837	B	A
Q783	B	A
Q83338	B	A
Q698	B	A
Q800	B	A
Q27	B	A
Q5593	B	A
Q1048	B	A
Q55	B	A
Q794	B	A
Q42	B	A
Q32	B	A
Q913	B	A
Q241	B	A
Q1085	B	A
Q90	B	A
Q796	B	A
Q20	B	A
Q567	B	A
Q16987	B	A
Q657	B	A
Q2	B	A
Q8646	B	A
Q62	B	A
Q60	B	A
Q222	B	A
Q7747	B	A
Q114	B	A
Q150	B	A
Q255	B	A
Q882	B	A
Q408	B	A
Q1035	B	A
