Q340169	A	C
Q19902884	A	E
Q602243	A	C
Q33999	A	C
Q16010345	A	D
Q103204	A	C
Q1200925	A	D
Q6581072	A	D
Q15709880	A	D
Q40629	A	C
Q1048694	A	C
Q37312	A	C
Q2597810	A	C
Q2462658	A	C
Q6883832	A	E
Q4537983	A	E
Q28389	A	C
Q16744133	A	D
Q27302	A	C
Q17117201	A	D
Q63056	A	C
Q17254543	A	D
Q22673	A	C
Q9384291	A	D
Q4043051	A	E
Q1967876	A	C
Q953058	A	C
Q223142	A	C
Q15416	A	C
Q3561957	A	E
Q4380129	A	E
Q7727	A	C
Q2629164	A	C
Q386724	A	C
Q712226	A	C
Q11424	A	C
Q5398426	A	C
Q5296	A	C
Q565	A	C
Q355	A	C
Q4610556	A	C
Q2736	A	C
Q54919	A	C
Q18336849	A	D
Q1860	A	C
Q1930187	A	C
Q328	A	C
Q829984	A	C
Q918	A	C
Q17299580	A	D
Q477809	A	C
Q372827	A	E
Q49757	A	C
Q156376	A	C
Q1321	A	C
Q3282637	A	C
Q504063	A	C
Q219523	A	D
Q15180	A	C
Q502895	A	C
Q41226	A	C
Q1526131	A	C
Q423048	A	C
Q304037	A	C
Q4442644	A	E
Q4299858	A	E
Q488205	A	C
Q11789729	A	D
Q36180	A	C
Q31964	A	C
Q31165	A	C
Q2638147	A	D
Q17537576	A	D
Q215627	A	C
Q2259451	A	D
Q245966	A	C
Q494817	A	C
Q2405480	A	C
Q82955	A	C
Q623578	A	C
Q4066284	A	E
Q286583	A	D
Q830077	A	C
Q866	A	C
Q809830	A	C
Q17442446	A	D
Q938726	A	D
Q639669	A	C
Q7315186	A	C
Q750403	A	C
Q649227	A	C
Q6007395	A	E
Q177220	A	C
Q384060	A	C
Q4584301	A	D
Q220509	A	C
Q6581097	A	D
Q36578	A	C
Q1063819	A	C
Q10798782	A	D
