Q488383	X	dewiki	9710958	433
Q8437224	X	itwiki	2661497	15
Q2104241	X	dewiki	2625495	330
Q6970415	X	commonswiki	16627423	0
P856	X	cewiki	27239	1
Q131454	X	commonswiki	16525667	2
P166	X	ruwiki	3290707	417
Q1297	X	ruwiki	3772894	2799
P856	X	ukwiki	229000	13632
Q9952881	X	nnwiki	205269	1
P18	X	ruwiki	5076193	389
Q230	X	commonswiki	50529974	10
Q16	X	svwiki	6078823	1
P239	X	itwiki	4903168	151
Q7463360	X	crhwiki	1875	77
P214	X	nowiki	160178	4953
Q623578	X	commonswiki	5364272	15
P884	X	ruwiki	3401518	303
Q17461914	X	frwiki	8137759	822
Q221	X	commonswiki	12828898	190
Q11792815	X	plwiki	2554975	878
P19	X	ruwiki	4744236	330
Q11082614	X	zhwiki	682277	164
Q488383	X	dewiki	9464417	930
Q54035	X	jawiki	1056286	102
Q36578	X	commonswiki	3036011	0
Q19938912	X	commonswiki	11717981	0
Q5709113	X	enwiki	40865747	126
Q2597810	X	commonswiki	17800306	6
Q13219454	X	commonswiki	55840334	3
Q3269914	X	hywiki	553072	21
Q40	X	commonswiki	4008715	30
P569	X	ruwiki	5976715	3734
Q311	X	commonswiki	35306456	1
P421	X	cewiki	150391	6
Q2223763	X	nowiki	1139885	32
Q11889011	X	frwiki	9170106	45
Q36578	X	commonswiki	5371390	9
P69	X	ruwiki	5343649	737
Q25256124	X	svwiki	7140132	2
Q48183	X	arwiki	2669502	59
Q38	X	itwiki	1950605	813
Q54919	X	commonswiki	23893085	0
Q20666306	X	bxrwiki	6157	99
Q750403	X	commonswiki	26186664	22
Q690863	X	enwiki	16841441	252
Q3392877	X	glwiki	150012	41
Q9441	X	kowiki	16010	43337
P856	X	itwiki	1232770	57
P17	X	ruwiki	191003	19639
